"Step","test-subject-9","test-subject-9__MIN","test-subject-9__MAX","test-subject-8","test-subject-8__MIN","test-subject-8__MAX","test-subject-7","test-subject-7__MIN","test-subject-7__MAX","test-subject-6","test-subject-6__MIN","test-subject-6__MAX","test-subject-5","test-subject-5__MIN","test-subject-5__MAX","test-subject-4","test-subject-4__MIN","test-subject-4__MAX","test-subject-3","test-subject-3__MIN","test-subject-3__MAX","test-subject-2","test-subject-2__MIN","test-subject-2__MAX","test-subject-1","test-subject-1__MIN","test-subject-1__MAX"
"0","0.26766727178423155","0.2671161825726134","0.2682183609958498","0.2574883298755179","0.24948132780082918","0.26549533195020664","0.26705134854771706","0.26698651452282074","0.2671161825726134","0.2665002593360988","0.2608921161825719","0.2721084024896257","0.27013096473028964","0.26504149377593283","0.27522043568464644","0.2717611336032383","0.27049595141700405","0.27302631578947256","0.25926745951416963","0.25354251012145756","0.2649924089068817","0.259725103734439","0.2554460580912855","0.2640041493775926","0.2720435684647295","0.2697095435684639","0.2743775933609951"
"1","0.27998573651452197","0.27308091286306974","0.2868905601659742","0.2788835580912855","0.2702282157676341","0.28753890041493685","0.27301607883817347","0.26322614107883746","0.2828060165975095","0.27904564315352615","0.27126556016597436","0.28682572614107793","0.2818659232365137","0.2723029045643146","0.29142894190871277","0.27859311740890647","0.26695344129554666","0.2902327935222663","0.27340587044534365","0.2656882591093118","0.2811234817813755","0.28112033195020664","0.2772302904564308","0.2850103734439825","0.2864043049792523","0.273858921161825","0.29894968879667955"
"2","0.2797912344398332","0.2663381742738582","0.2932442946058082","0.2853021265560157","0.2767116182572606","0.29389263485477085","0.28919216804979164","0.28008298755186645","0.2983013485477169","0.29386021784232275","0.28163900414937676","0.30608143153526873","0.29269320539418997","0.2795643153526963","0.30582209543568367","0.29817181174088997","0.28137651821862364","0.3149671052631563","0.28229377530364325","0.26821862348178155","0.29636892712550494","0.2827087655601651","0.27204356846472955","0.29337396265560073","0.2977826763485468","0.2883817427385884","0.30718360995850524"
"3","0.28322743775933523","0.26530082987551795","0.30115404564315257","0.2894515041493767","0.27800829875518596","0.3008947095435675","0.2962590767634846","0.2857883817427378","0.3067297717842314","0.29882002074688707","0.28137966804979175","0.3162603734439824","0.30436332987551773","0.29201244813277927","0.31671421161825625","0.3074392712550602","0.2942813765182188","0.3205971659919016","0.29526189271255","0.2831477732793525","0.30737601214574745","0.30118646265560073","0.2842323651452274","0.3181405601659741","0.3043309128630696","0.2883817427385884","0.32028008298755084"
"4","0.29249870331950123","0.2829356846473021","0.3020617219917003","0.28786307053941823","0.2723029045643146","0.30342323651452185","0.2982040975103726","0.27593360995850547","0.32047458506223964","0.3093555497925302","0.2990145228215759","0.31969657676348445","0.3072808609958497","0.29149377593360914","0.32306794605809025","0.310412449392712","0.30086032388663986","0.31996457489878416","0.29750759109311675","0.2874493927125507","0.30756578947368274","0.29574040456431444","0.2800829875518664","0.3113978215767625","0.30990663900414844","0.29693983402489543","0.32287344398340145"
"5","0.2854642116182564","0.2637448132780076","0.30718360995850524","0.29937110995850535","0.2818983402489619","0.3168438796680488","0.30355290456431444","0.29279045643153445","0.31431535269709443","0.306859439834024","0.2878630705394183","0.32585580912862966","0.3165521265560156","0.30679460580912776","0.3263096473029035","0.3084514170040477","0.291497975708502","0.3254048582995934","0.3011766194331977","0.2922570850202433","0.3100961538461521","0.30446058091286216","0.29019709543568384","0.3187240663900405","0.31081431535269616","0.2933091286307046","0.32831950207468774"
"6","0.3032611514522812","0.2922717842323643","0.31425051867219816","0.30121887966804883","0.2889004149377585","0.31353734439833925","0.2965832468879659","0.27930497925311126","0.3138615145228206","0.311754408713692","0.2997925311203311","0.3237162863070529","0.30763744813277916","0.29019709543568384","0.3250778008298745","0.3159476214574889","0.299595141700405","0.3323001012145728","0.30225202429149717","0.28441295546558726","0.3200910931174071","0.3133428423236505","0.299533195020746","0.32715248962655497","0.31078189834024805","0.29486514522821494","0.3266986514522811"
"7","0.3014133817427377","0.2855290456431527","0.31729771784232264","0.29849585062240575","0.28008298755186645","0.31690871369294504","0.3007974585062232","0.28345435684647224","0.3181405601659741","0.3066649377593352","0.28267634854771706","0.3306535269709533","0.31843231327800736","0.3070539419087128","0.32981068464730184","0.32755566801619346","0.3152834008097167","0.33982793522267024","0.30753415991902766","0.29655870445344146","0.3185096153846139","0.30880446058091193","0.2971991701244805","0.32040975103734337","0.31622795643153434","0.2997925311203311","0.3326633817427375"
