"Step","Group","Group__MIN","Group__MAX"
"0","0.26356305635351224","0.24948132780082918","0.2743775933609951"
"1","0.2704260718292161","0.26322614107883746","0.2772302904564308"
"2","0.27715072805430907","0.2663381742738582","0.2883817427385884"
"3","0.28361476491526666","0.26530082987551795","0.2942813765182188"
"4","0.28744589290013994","0.2723029045643146","0.30086032388663986"
"5","0.28892806345579813","0.2637448132780076","0.30679460580912776"
"6","0.2920970269326892","0.27930497925311126","0.2997925311203311"
"7","0.2941811652228768","0.28008298755186645","0.3152834008097167"
