"Step","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MAX"
"0","0.3049164023141683","0.29149377593360903","0.3150933609958496","0.30299292364179176","0.28656639004149287","0.31600103734439733","0.30267990552372953","0.2872795643153518","0.3138615145228206","0.30461098535118414","0.2901970954356837","0.3224196058091276","0.3036034768536396","0.2833246887966796","0.31907894736841946","0.3025033399876423","0.28734439834024805","0.31593620331950106","0.3024015246116132","0.2927256224066381","0.31155111336032304","0.3023752468534343","0.28985323886639597","0.31541753112033094","0.3003016371655802","0.28189834024896177","0.32099325726140976","0.3013227657664206","0.28676089211618166","0.3179402834008088","0.3030880711460522","0.28526970954356756","0.3187240663900405"
"1","0.34092232656329496","0.32475363070539315","0.35760374493926916","0.3419792042896487","0.32851400414937654","0.3572354771784221","0.3401241651780785","0.3233921161825716","0.3663335020242894","0.3369335028642453","0.32099325726140976","0.34984439834024783","0.34323115281020805","0.328384336099584","0.3580783195020735","0.3382720644506774","0.311527489626555","0.36080134854771667","0.33945444690831117","0.3173625518672189","0.3562753036437227","0.33686414824831934","0.31742738589211517","0.3594398340248951","0.3393275203782398","0.31632520746887866","0.3580783195020735","0.3365479401970709","0.31749221991701143","0.3525025933609947","0.33706454167389843","0.31742738589211517","0.3540586099585051"
"2","0.36247347142193037","0.3377852697095425","0.3832869433198353","0.3636422009655269","0.33875778008298646","0.3854377530364355","0.36292404310462156","0.33674792531120223","0.3850581983805654","0.35840458951400067","0.3290975103734429","0.382780870445342","0.3591562033941633","0.3323392116182562","0.3848547717842311","0.3610072833429448","0.33130186721991595","0.3891338174273846","0.35856773910251605","0.32870850622406533","0.3890041493775921","0.3556700110874043","0.33182053941908607","0.377982365145227","0.35808432751337715","0.335710580912862","0.3820669087136917","0.35475533511403656","0.3373962655601649","0.3790845435684635","0.3541386973324883","0.3296810165975093","0.37934387966804856"
"3","0.3835084522802896","0.34789937759335987","0.4162449392712529","0.383053494895172","0.3592453319502063","0.40929719917012314","0.3794549403818607","0.34984439834024783","0.40287863070539287","0.3771916116962782","0.35036307053941795","0.4066928137651794","0.3756344576597346","0.3486125518672188","0.40981587136929326","0.3737779530017177","0.34141597510373334","0.4020357883817414","0.3743946199483694","0.3409621369294595","0.40657417012448005","0.3716738949458962","0.3394061203319491","0.40119294605808997","0.37216480196661306","0.3392116182572603","0.4054719917012435","0.3679330037909953","0.34251815352696985","0.3954959514170013","0.37002093354462734","0.3356457468879657","0.40307313278008167"
"4","0.40442954340980497","0.3560684647302893","0.434779858299593","0.40395475740000175","0.3641078838174262","0.4439185684647288","0.40099651908657535","0.3641078838174262","0.43471213692945915","0.3963974739287291","0.3588563278008287","0.43075726141078696","0.3962686225018324","0.36605290456431416","0.4253112033195007","0.3893053665656838","0.34977956431535157","0.427839730290455","0.3893269779073159","0.3499092323651441","0.4251167012448119","0.38862272815510285","0.34757520746887854","0.4243386929460567","0.3855388101197761","0.34984439834024783","0.4157157676348534","0.3879594262080871","0.3639133817427374","0.41616960580912726","0.3820611340232149","0.34569502074688685","0.41078838174273724"
"5","0.43475343471589756","0.3781120331950195","0.48564018218623234","0.4312866955331176","0.3880316390041481","0.4849585062240648","0.42688203578954687","0.3743516597510361","0.4693983402489611","0.41884442493882174","0.3777230290456419","0.45785788381742587","0.4162686213352283","0.3727308091286295","0.4608402489626541","0.40738449335782106","0.3695539419087125","0.45001296680497777","0.4074164291460628","0.36533973029045524","0.4428812240663886","0.402894875667996","0.36125518672199053","0.45468101659750887","0.3995969441037944","0.3599585062240652","0.4378241701244799","0.39782950967161335","0.366506742738588","0.4306924273858907","0.3931312739970456","0.35036307053941795","0.4230136639676091"
"6","0.4781533251484373","0.4078708506224053","0.5514133817427394","0.4665615235523363","0.4041753112033182","0.5549792531120344","0.45541857289782456","0.3921810165975091","0.5171810165975094","0.442675493426884","0.39017116182572487","0.4988329875518656","0.4417073578189525","0.3816779045643141","0.4964341286307038","0.43012367870415313","0.3831690871369282","0.49682313278008133","0.42727296483574984","0.3825855809128618","0.47841026970954204","0.41922004230573084","0.3743516597510361","0.4675181535269694","0.4170862650095273","0.3766208506224054","0.46453578838174125","0.40992798202682845","0.3715637966804967","0.44631742738589064","0.40323383249990985","0.36890560165974984","0.43996369294605664"
"7","0.540256767237276","0.4389911825726127","0.6502204356846509","0.5250973625938647","0.42984958506223925","0.6403008298755216","0.502867046326316","0.41318724066389906","0.5811721991701257","0.47961508013170395","0.40534232365145095","0.5667790456431541","0.47660287908567966","0.39989626556016467","0.5483013485477184","0.4570303823381719","0.40573132780082855","0.5324818464730289","0.4507199872420157","0.39561721991701115","0.5132909751037336","0.43839064392815047","0.39114367219916885","0.4941001037344382","0.4344425930436778","0.38874481327800703","0.4874870331950192","0.42481842973216477","0.38031639004149254","0.4607754149377578","0.4169156491545371","0.3699429460580901","0.45928423236514376"
"8","0.627117415673188","0.5030471991701231","0.734245331950214","0.6000640662535499","0.4943699392712528","0.7361903526971014","0.5683005015931152","0.4480679460580898","0.6692816390041543","0.5312311010129857","0.437370331950206","0.6308998962655635","0.5290523511273126","0.4308869294605795","0.6298625518672225","0.48915335221365375","0.4162992738589198","0.5947225103734458","0.47893121678677886","0.40235995850622275","0.5511540456431543","0.4602553719787269","0.3943853734439821","0.5341675311203318","0.4523588035681271","0.3962655601659738","0.5116052904564304","0.44065989312972664","0.3886151452282145","0.4871628630705378","0.42968582300655184","0.3803812240663888","0.4705005186721976"
"9","0.7153856886604243","0.5852567427385912","0.8111384854771853","0.6777508131814165","0.5574392712550588","0.7993386929460654","0.6467900070556235","0.49397043568464566","0.7535658713693001","0.5969151428483445","0.4716026970954341","0.7079227178423291","0.5903265418306922","0.4779564315352682","0.7059128630705443","0.5301112777021818","0.44754927385891974","0.6613070539419139","0.5152140928579557","0.4174014522821563","0.6014004149377621","0.49419334457006336","0.42570020746887827","0.5850622406639018","0.47419874128079925","0.4153267634854758","0.5475881742738595","0.45927358710239624","0.4024896265560153","0.514133817427385","0.44191203851473393","0.38848547717842197","0.4958506224066374"
