"Step","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:12 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:11 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:10 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:9 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:8 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:7 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:6 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:5 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:4 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:3 to12__MAX","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MIN","Data:features Decay:1 
Dropout:0.1
Pretrained:true Frozen:2 to12__MAX"
"0","0.28590374228395066","0.2361111111111111","0.3802083333333333","0.3065321180555556","0.2569444444444444","0.37673611111111105","0.29755015432098764","0.23437500000000003","0.3993055555555556","0.29084683641975306","0.21527777777777782","0.3715277777777778","0.28628954475308643","0.24479166666666663","0.36979166666666663","0.2982735339506173","0.24131944444444445","0.34201388888888884","0.2877363040123457","0.22395833333333334","0.3871527777777778","0.27785011574074076","0.23437499999999997","0.359375","0.2761622299382716","0.22569444444444442","0.3472222222222222","0.2853973765432099","0.2309027777777778","0.3576388888888889","0.2972125771604938","0.21484375","0.375"
"1","0.28860435956790126","0.234375","0.3559027777777778","0.3020290798611111","0.2413194444444445","0.3923611111111111","0.2952353395061728","0.24305555555555558","0.3854166666666667","0.2805507330246913","0.19965277777777776","0.3836805555555556","0.2959346064814815","0.2361111111111111","0.3993055555555555","0.31177662037037035","0.21180555555555552","0.375","0.28908661265432095","0.23437499999999997","0.39236111111111105","0.2900511188271605","0.21354166666666663","0.4114583333333333","0.2918354552469136","0.21875","0.3802083333333333","0.3099922839506173","0.24131944444444448","0.38541666666666663","0.298707561728395","0.23090277777777776","0.35416666666666663"
"2","0.29706790123456794","0.20833333333333334","0.3819444444444445","0.306640625","0.23437499999999994","0.3767361111111111","0.28546971450617287","0.22222222222222224","0.36458333333333337","0.30572434413580246","0.234375","0.36458333333333326","0.28120177469135804","0.1996527777777778","0.3194444444444444","0.2923418209876543","0.21875","0.4288194444444444","0.29169077932098764","0.22569444444444445","0.3628472222222222","0.3024691358024691","0.22743055555555555","0.3732638888888889","0.2948254243827161","0.21875","0.3628472222222222","0.29554880401234573","0.19618055555555552","0.3940972222222222","0.2965615354938272","0.23437500000000003","0.4392361111111111"
"3","0.2994791666666667","0.22743055555555558","0.4322916666666667","0.30615234375","0.23958333333333331","0.4149305555555555","0.2840470679012346","0.2048611111111111","0.3732638888888889","0.28915895061728397","0.20833333333333334","0.42187500000000006","0.29714023919753085","0.23611111111111108","0.3836805555555556","0.3044222608024691","0.23090277777777776","0.37500000000000006","0.3172743055555556","0.2517361111111111","0.4097222222222222","0.2951871141975309","0.24479166666666666","0.3958333333333333","0.28911072530864196","0.24131944444444445","0.37673611111111105","0.296850887345679","0.2152777777777778","0.3923611111111111","0.30963059413580246","0.22916666666666669","0.4288194444444445"
"4","0.3056278935185185","0.22916666666666663","0.3802083333333333","0.30721028645833337","0.2534722222222222","0.421875","0.2991657021604938","0.22916666666666669","0.3923611111111111","0.3062065972222222","0.2378472222222222","0.3854166666666667","0.304735725308642","0.23784722222222224","0.3732638888888889","0.30215567129629634","0.21180555555555555","0.38020833333333337","0.2983699845679013","0.21180555555555558","0.3767361111111111","0.29173900462962965","0.224609375","0.4131944444444444","0.3244357638888889","0.2569444444444444","0.3993055555555556","0.29663387345679015","0.24609375","0.38541666666666674","0.30736400462962965","0.2361111111111111","0.4045138888888889"
"5","0.2928722993827161","0.24652777777777782","0.38020833333333337","0.3079155815972222","0.2291666666666667","0.4375","0.28944830246913583","0.203125","0.3802083333333333","0.30008198302469136","0.24131944444444445","0.3871527777777778","0.3089313271604939","0.22395833333333331","0.39409722222222227","0.3099440586419753","0.20833333333333334","0.4548611111111111","0.3096788194444444","0.24305555555555558","0.4131944444444444","0.29846643518518523","0.21180555555555555","0.38541666666666674","0.30977527006172834","0.2586805555555555","0.4045138888888889","0.2955005787037037","0.234375","0.38541666666666663","0.3086902006172839","0.23090277777777776","0.4131944444444444"
"6","0.3057966820987654","0.2222222222222222","0.40451388888888884","0.3221571180555556","0.28125","0.3802083333333333","0.3191309799382716","0.23437499999999997","0.44965277777777773","0.32723283179012347","0.25","0.40972222222222227","0.31008873456790126","0.2378472222222222","0.42187499999999994","0.30488040123456783","0.2152777777777778","0.3993055555555556","0.31874517746913583","0.24479166666666669","0.3975694444444444","0.29972029320987653","0.23046875","0.3940972222222222","0.3049286265432099","0.22916666666666666","0.3975694444444445","0.29443962191358025","0.2361111111111111","0.37673611111111116","0.2915943287037037","0.24305555555555555","0.3854166666666667"
"7","0.3082802854938272","0.24652777777777773","0.4305555555555556","0.3005642361111111","0.24305555555555558","0.4479166666666667","0.29921392746913583","0.2204861111111111","0.4149305555555556","0.31269290123456783","0.22916666666666669","0.4357638888888889","0.3100163966049383","0.24999999999999997","0.4149305555555555","0.30459104938271614","0.21180555555555558","0.40798611111111116","0.3101369598765432","0.22048611111111113","0.421875","0.30837673611111116","0.23958333333333331","0.41493055555555564","0.3060136959876543","0.2170138888888889","0.4270833333333333","0.3139467592592593","0.22569444444444445","0.40972222222222215","0.29313753858024694","0.23958333333333337","0.34895833333333326"
"8","0.31753954475308643","0.23958333333333331","0.40972222222222227","0.3130967881944444","0.23611111111111113","0.41840277777777785","0.3229407793209877","0.2552083333333333","0.3975694444444444","0.30991994598765427","0.234375","0.3993055555555556","0.3017698688271605","0.2361111111111111","0.42361111111111116","0.3180217978395062","0.24479166666666666","0.42361111111111116","0.3092206790123456","0.24652777777777776","0.421875","0.30179398148148145","0.22222222222222218","0.4236111111111111","0.30022665895061723","0.2326388888888889","0.4010416666666666","0.30560378086419754","0.2465277777777778","0.39409722222222227","0.31090856481481477","0.2482638888888889","0.3940972222222223"
"9","0.30034722222222215","0.23958333333333331","0.35937500000000006","0.3042534722222222","0.22743055555555555","0.4149305555555555","0.302758487654321","0.2326388888888889","0.40798611111111105","0.31071566358024694","0.25173611111111116","0.39062500000000006","0.2983217592592593","0.23958333333333331","0.3784722222222222","0.31517650462962965","0.2465277777777778","0.4149305555555556","0.3175154320987655","0.24131944444444445","0.42013888888888884","0.31095679012345673","0.18055555555555552","0.4288194444444444","0.32144579475308643","0.25","0.4184027777777778","0.3156105324074074","0.2552083333333333","0.3836805555555556","0.29911747685185186","0.22395833333333331","0.3888888888888889"
